from,to,ort,alter,beziehung,beziehung 2,alkohol,marihuana,heroin,kokain,sonstige_drogen,kapitel
CF,PA,3,3,1,9,1,1,1,3,3,201
CF,DGB,1,3,1,9,1,3,3,3,3,201
CF,EM,3,3,4,10,3,3,3,3,3,201
CF,DB,1,1,3,11,3,3,3,3,3,201
CF,BB,1,3,2,11,3,3,3,3,3,201
CF,MS,1,3,3,7,3,3,3,3,3,201
CF,MES,1,3,3,7,3,3,3,3,3,201
CF,CH,3,3,2,10,1,1,1,3,3,201
CF,MA,3,3,2,8,1,1,1,3,3,201
CF,EMB,3,3,4,10,3,3,3,3,3,201
CF,CFM,3,0,4,10,3,3,3,3,3,201
CF,PA,1,5,9,10,3,3,1,3,1,201
CF,PH,1,5,4,10,2,2,2,2,2,202
CF,SEM,1,5,4,10,3,3,3,3,3,202
CF,SE,1,5,1,9,3,3,3,3,3,202
CF,PH,1,6,4,10,1,3,3,3,3,202
CF,KM,2,2,2,10,3,3,2,3,3,203
CF,FMS,2,2,2,10,1,1,2,1,3,203
CF,RR,2,2,2,10,1,1,2,1,3,203
CF,JH,2,2,6,10,1,1,2,1,3,203
CF,FZ,2,2,2,10,1,1,2,1,3,203
CF,CP,2,2,3,10,3,1,2,1,3,203
CF,CFO,6,1,4,7,3,3,3,3,3,203
CF,CFT,6,1,4,7,3,3,3,3,3,203
CF,CO,6,1,4,10,3,3,3,3,3,203
CF,CCO,6,1,4,10,3,3,3,3,3,203
CF,HR,6,1,5,10,3,3,3,3,3,203
CF,KH,6,1,5,10,3,3,3,3,3,203
CF,NW,6,1,1,9,3,3,3,3,3,203
CF,BLB,2,2,3,10,3,1,2,1,3,203
CF,AH,2,2,1,9,3,3,2,3,3,203
CF,BE,4,2,5,11,3,3,2,1,3,203
CF,UE,4,2,5,10,3,3,2,3,3,203
CF,HW,4,2,5,10,3,3,2,3,3,203
CF,RB,4,2,5,10,2,2,2,2,2,203
CF,BI,4,2,3,10,2,3,2,3,3,203
CF,NH,4,2,5,10,3,1,2,3,3,203
CF,RI,4,2,3,10,1,3,2,3,3,203
CF,RF,4,2,3,10,1,3,2,3,3,203
CF,F,5,2,2,10,1,3,2,1,3,203
CF,GI,2,3,6,2,1,3,2,1,3,203
CF,GIM,2,3,2,10,1,3,2,1,3,203
CF,AH,1,3,1,10,3,3,3,2,3,204
CF,GI,2,3,2,10,1,3,1,1,3,204
CF,GIM,2,3,2,10,1,3,1,1,3,204
CF,B,1,3,2,11,1,1,1,3,3,204
CF,H,1,3,2,11,1,1,1,2,1,204
CF,J,1,3,2,10,1,1,1,3,3,204
CF,HE,1,3,7,10,1,1,1,3,3,204
CF,P,1,3,2,10,1,1,1,3,3,204
CF,FRI,1,3,2,10,1,1,1,3,3,204
CF,HC,4,3,6,10,3,3,3,3,3,204
CF,BJ,4,3,3,10,1,3,3,1,1,204
CF,AK,5,3,2,4,2,2,2,2,2,204
CF,DK,5,3,2,4,2,2,2,2,2,204
CF,JK,5,3,2,4,2,2,2,2,2,204
CF,PK,5,3,2,4,2,2,2,2,2,204
CF,FD,5,3,3,10,1,3,3,3,3,204
CF,PHI,5,3,3,10,1,3,3,3,3,204
CF,L,5,3,3,10,3,3,3,3,3,204
CF,FVK,5,3,3,10,3,1,3,3,3,204
CF,G,1,3,1,6,3,3,1,3,1,204
CF,HB,1,1,7,10,3,3,3,3,3,204
CF,GI,8,3,2,10,2,2,2,2,2,204
CF,GIM,8,3,2,10,2,2,2,2,2,204
CF,NH,8,3,2,10,2,2,2,2,2,204
CF,HC,8,3,2,10,2,2,2,2,2,204
CF,DGB,8,3,1,11,2,2,2,2,2,204
CF,AT,8,3,8,10,1,2,2,2,2,205
CF,O,8,3,8,10,1,2,2,2,2,205
CF,FH,8,3,1,3,2,2,2,2,2,205
CF,MJ,3,4,3,7,3,3,3,3,3,206
CF,DGB,1,4,1,9,1,3,1,3,3,206
CF,PA,5,4,1,10,3,3,1,3,3,206
CF,PAS,3,4,3,10,2,2,2,2,2,206
CF,EMO,3,4,4,10,3,3,3,3,3,206
CF,LM,8,3,2,11,1,1,2,2,2,206
CF,BIB,1,4,2,11,1,1,1,3,3,206
CF,MAR,1,4,2,11,1,1,1,3,3,206
CF,KU,1,4,2,11,1,1,1,3,3,206
CF,SE,1,5,1,10,1,1,1,3,4,206
CF,BM,1,6,3,10,1,2,2,1,3,207
CF,DR,1,6,1,9,3,3,3,3,3,207
