id,name,geschlecht,zustand
CF,Christiane F,2,1
DGB,Detlev (Anders Gode) Benedix,1,1
DB,David Bowie,1,1
DE,Detlef ,1,1
BB,Ben Becker,1,1
EM,Embryo 1 (Baby von Gode),3,2
MS,Monika Sander/Becker,2,1
MES,Meret Sander/Becker,2,1
AH,Alexander Hacke,1,1
PA,Panagiotis ,1,1
CH,Christos (Panagiotis' Bruder),1,1
MA,Maria (Christos Freundin),2,1
EMB,Embryo 2 (Baby Panagiotis),3,2
CFM,Christianes Mutter,2,1
PH,Philip (CFs Sohn),1,1
SE,Sebastian,1,1
SEM,Sebastians Mutter,2,1
CFS,Anette (CFs Schwester),2,1
CFV,CFs Vater,1,1
KM,Klaus Maeck,1,1
FMS,Frank-Martin Strauß,1,1
RR,Ralf Richter (Mufti),1,1
JH,Jochen Hildisch,1,1
FZ,Frank Ziegert,1,1
CP,Campino (Tote Hosen),1,1
CFO,CFs Oma (Hessen),2,1
CFT,CFs Tante,2,1
CO,CFs Cousin 1,1,1
CCO,CFs Cousin 2,1,2
HR,Horst Rieck,1,1
KH,Kai Hermann,1,1
NW,Nikolai Walter,1,1
BLB,Blixa Bargeld,1,1
BE,Bernd Eichinger,1,1
UE,Uli Edel,1,1
HW,Herman Weigel,1,1
RB,Rodney Bingenheimer,1,1
BI,Billy Idol,1,1
NH,Nina Hagen,2,1
RI,Rick,1,1
RF,Ricks Freundin,2,1
F,Franzika,2,1
GI,Guido,1,1
GIM,"Mirima, Guidos Freundin",2,1
B,Beate,2,1
H,Hatice,2,1
J,Josephine,2,1
HE,Heiko,1,1
P,Paco,1,1
FR,Fritz,1,1
HC,Hector Coggins,1,1
BJ,Brian Johnson,1,1
AK,Anna Keel ,2,2
DK,Daniel Keel,1,2
JK,Jakob Keel (Köbi),1,1
PK,Philipp Keel,1,1
FD,Friedrich Dürenmatt,1,1
PHI,Patricia Highsmith,2,1
L,Loriot,1,1
FVK,Freund von Köbi,1,1
G,Greg,1,1
HB,Herr Brecht,1,1
AT,Anna Tollkühn,2,1
O,Olga,2,1
FH,Frau Blume,2,1
MJ,Marijanna,2,1
PAS,Panagiotis Schwester,2,1
EMO,Embryo 3 (Baby von Panagiotis),4,2
LM,Liane Mayer,2,2
BIB,Bibi,2,2
MAR,Martha,2,2
KU,Kurt,1,2
BM,Beckermann,1,1
DR,Dragan,1,1
T,Thorsten,1,1
JU,Jule,2,1
FEX,Felix,1,1
BN,Bernd,1,1
FP,Frau Peters,2,1
HP,Herr Peters,1,1
MY,Maya,2,1
BV,Bauer Völkel,1,1
JB,"Junge, Boss in Gropiusstadt",1,1
CL,CFs Lehrerin,2,1
GV,Großvater vom Vater,1,3
OP,Opa väterlicherseits,1,3
FR,CFs 2 Jahre ältere Freundin,2,1
HA,Hauswart,1,1
HF,Hauswartsfrau,2,1
HEINK,Hauswart Einkaufszentrum,1,1
SOZ,Sozialarbeiter auf Spielplatz,1,1
AM,Arbeitskollegin Mutter,2,1
KL,Klaus ,1,1
VF,Vaters junge Freundin,2,1
KE,Kessi,2,1
